date_time,value
2018-01-01 0,0.0
2018-01-01 1,3.0
2018-01-01 2,0.0
2018-01-01 3,0.0
2018-01-01 4,0.0
2018-01-01 5,0.0
2018-01-01 6,35.0
2018-01-01 7,3.0
2018-01-01 8,0.0
2018-01-01 9,0.0
2018-01-01 10,0.0
2018-01-01 11,0.0
2018-01-01 12,0.0
2018-01-01 13,0.0
2018-01-01 14,0.0
2018-01-01 15,0.0
2018-01-01 16,0.0
2018-01-01 17,0.0
2018-01-01 18,0.0
2018-01-01 19,0.0
2018-01-01 20,0.0
2018-01-01 21,0.0
2018-01-01 22,3.0
2018-01-01 23,0.0
2018-01-02 0,0.0
2018-01-02 1,0.0
2018-01-02 2,0.0
2018-01-02 3,0.0
2018-01-02 4,0.0
2018-01-02 5,0.0
2018-01-02 6,56.0
2018-01-02 7,129.0
2018-01-02 8,109.0
2018-01-02 9,105.5
2018-01-02 10,103.0
2018-01-02 11,95.0
2018-01-02 12,94.5
2018-01-02 13,87.5
2018-01-02 14,83.0
2018-01-02 15,83.0
2018-01-02 16,77.5
2018-01-02 17,72.0
2018-01-02 18,71.5
2018-01-02 19,65.5
2018-01-02 20,62.5
2018-01-02 21,28.5
2018-01-02 22,0.0
2018-01-02 23,0.0
2018-01-03 0,0.0
2018-01-03 1,0.0
2018-01-03 2,0.0
2018-01-03 3,0.0
2018-01-03 4,0.0
2018-01-03 5,0.0
2018-01-03 6,44.0
2018-01-03 7,93.5
2018-01-03 8,74.5
2018-01-03 9,74.0
2018-01-03 10,75.0
2018-01-03 11,74.5
2018-01-03 12,77.0
2018-01-03 13,77.0
2018-01-03 14,77.0
2018-01-03 15,77.5
2018-01-03 16,72.0
2018-01-03 17,71.5
2018-01-03 18,71.0
2018-01-03 19,65.5
2018-01-03 20,66.0
2018-01-03 21,32.0
2018-01-03 22,0.0
2018-01-03 23,0.0
2018-01-04 0,0.0
2018-01-04 1,0.0
2018-01-04 2,0.0
2018-01-04 3,0.0
2018-01-04 4,0.0
2018-01-04 5,0.0
2018-01-04 6,46.0
2018-01-04 7,105.5
2018-01-04 8,77.0
2018-01-04 9,71.5
2018-01-04 10,74.0
2018-01-04 11,71.5
2018-01-04 12,75.0
2018-01-04 13,74.5
2018-01-04 14,80.0
2018-01-04 15,77.0
2018-01-04 16,74.0
2018-01-04 17,71.5
2018-01-04 18,69.5
2018-01-04 19,65.5
2018-01-04 20,59.5
2018-01-04 21,28.5
2018-01-04 22,0.0
2018-01-04 23,0.0
2018-01-05 0,0.0
2018-01-05 1,0.0
2018-01-05 2,0.0
2018-01-05 3,0.0
2018-01-05 4,0.0
2018-01-05 5,0.0
2018-01-05 6,43.5
2018-01-05 7,99.5
2018-01-05 8,71.5
2018-01-05 9,71.5
2018-01-05 10,69.5
2018-01-05 11,59.5
2018-01-05 12,68.5
2018-01-05 13,68.5
2018-01-05 14,66.5
2018-01-05 15,71.5
2018-01-05 16,71.0
2018-01-05 17,71.5
2018-01-05 18,65.5
2018-01-05 19,66.5
2018-01-05 20,59.5
2018-01-05 21,28.5
2018-01-05 22,0.0
2018-01-05 23,0.0
2018-01-06 0,3.0
2018-01-06 1,0.0
2018-01-06 2,0.0
2018-01-06 3,0.0
2018-01-06 4,0.0
2018-01-06 5,0.0
2018-01-06 6,29.0
2018-01-06 7,43.0
2018-01-06 8,71.0
2018-01-06 9,63.0
2018-01-06 10,60.5
2018-01-06 11,54.5
2018-01-06 12,59.0
2018-01-06 13,63.5
2018-01-06 14,63.0
2018-01-06 15,59.5
2018-01-06 16,66.0
2018-01-06 17,52.0
2018-01-06 18,3.0
2018-01-06 19,0.0
2018-01-06 20,0.0
2018-01-06 21,0.0
2018-01-06 22,0.0
2018-01-06 23,0.0
2018-01-07 0,0.0
2018-01-07 1,0.0
2018-01-07 2,0.0
2018-01-07 3,0.0
2018-01-07 4,0.0
2018-01-07 5,0.0
2018-01-07 6,25.0
2018-01-07 7,3.0
2018-01-07 8,0.0
2018-01-07 9,0.0
2018-01-07 10,3.0
2018-01-07 11,0.0
2018-01-07 12,0.0
2018-01-07 13,0.0
2018-01-07 14,0.0
2018-01-07 15,0.0
2018-01-07 16,0.0
2018-01-07 17,3.0
2018-01-07 18,0.0
2018-01-07 19,0.0
2018-01-07 20,0.0
2018-01-07 21,0.0
2018-01-07 22,0.0
2018-01-07 23,0.0
2018-01-08 0,0.0
2018-01-08 1,3.0
2018-01-08 2,0.0
2018-01-08 3,0.0
2018-01-08 4,0.0
2018-01-08 5,0.0
2018-01-08 6,56.5
2018-01-08 7,120.0
2018-01-08 8,115.0
2018-01-08 9,97.5
2018-01-08 10,91.0
2018-01-08 11,94.5
2018-01-08 12,88.5
2018-01-08 13,95.0
2018-01-08 14,97.5
2018-01-08 15,87.5
2018-01-08 16,92.0
2018-01-08 17,88.5
2018-01-08 18,83.0
2018-01-08 19,80.0
2018-01-08 20,68.5
2018-01-08 21,34.5
2018-01-08 22,0.0
2018-01-08 23,0.0
2018-01-09 0,0.0
2018-01-09 1,0.0
2018-01-09 2,0.0
2018-01-09 3,0.0
2018-01-09 4,0.0
2018-01-09 5,0.0
2018-01-09 6,46.5
2018-01-09 7,111.0
2018-01-09 8,83.0
2018-01-09 9,86.0
2018-01-09 10,86.0
2018-01-09 11,83.0
2018-01-09 12,85.5
2018-01-09 13,85.0
2018-01-09 14,83.0
2018-01-09 15,83.0
2018-01-09 16,83.0
2018-01-09 17,71.5
2018-01-09 18,69.5
2018-01-09 19,62.5
2018-01-09 20,60.0
2018-01-09 21,28.5
2018-01-09 22,0.0
2018-01-09 23,0.0
2018-01-10 0,0.0
2018-01-10 1,0.0
2018-01-10 2,0.0
2018-01-10 3,0.0
2018-01-10 4,0.0
2018-01-10 5,0.0
2018-01-10 6,48.5
2018-01-10 7,103.5
2018-01-10 8,77.0
2018-01-10 9,77.5
2018-01-10 10,80.0
2018-01-10 11,77.0
2018-01-10 12,77.5
2018-01-10 13,68.5
2018-01-10 14,71.5
2018-01-10 15,62.5
2018-01-10 16,63.5
2018-01-10 17,57.0
2018-01-10 18,54.5
2018-01-10 19,51.0
2018-01-10 20,52.0
2018-01-10 21,22.5
2018-01-10 22,0.0
2018-01-10 23,3.0
2018-01-11 0,0.0
2018-01-11 1,0.0
2018-01-11 2,0.0
2018-01-11 3,0.0
2018-01-11 4,0.0
2018-01-11 5,0.0
2018-01-11 6,37.0
2018-01-11 7,86.0
2018-01-11 8,62.5
2018-01-11 9,63.5
2018-01-11 10,59.5
2018-01-11 11,63.0
2018-01-11 12,60.5
2018-01-11 13,56.5
2018-01-11 14,60.5
2018-01-11 15,62.5
2018-01-11 16,61.0
2018-01-11 17,56.5
2018-01-11 18,54.5
2018-01-11 19,46.0
2018-01-11 20,45.0
2018-01-11 21,23.5
2018-01-11 22,0.0
2018-01-11 23,0.0
2018-01-12 0,0.0
2018-01-12 1,0.0
2018-01-12 2,0.0
2018-01-12 3,0.0
2018-01-12 4,0.0
2018-01-12 5,0.0
2018-01-12 6,34.0
2018-01-12 7,68.5
2018-01-12 8,54.5
2018-01-12 9,46.0
2018-01-12 10,49.0
2018-01-12 11,48.5
2018-01-12 12,51.0
2018-01-12 13,46.0
2018-01-12 14,60.5
2018-01-12 15,53.5
2018-01-12 16,57.5
2018-01-12 17,51.5
2018-01-12 18,46.0
2018-01-12 19,45.5
2018-01-12 20,46.0
2018-01-12 21,22.5
2018-01-12 22,0.0
2018-01-12 23,0.0
2018-01-13 0,0.0
2018-01-13 1,0.0
2018-01-13 2,0.0
2018-01-13 3,0.0
2018-01-13 4,0.0
2018-01-13 5,0.0
2018-01-13 6,23.0
2018-01-13 7,31.0
2018-01-13 8,54.5
2018-01-13 9,40.0
2018-01-13 10,40.0
2018-01-13 11,41.0
2018-01-13 12,37.0
2018-01-13 13,37.0
2018-01-13 14,40.0
2018-01-13 15,37.0
2018-01-13 16,34.0
2018-01-13 17,38.0
2018-01-13 18,0.0
2018-01-13 19,0.0
2018-01-13 20,0.0
2018-01-13 21,0.0
2018-01-13 22,0.0
2018-01-13 23,0.0
2018-01-14 0,0.0
2018-01-14 1,0.0
2018-01-14 2,0.0
2018-01-14 3,0.0
2018-01-14 4,0.0
2018-01-14 5,0.0
2018-01-14 6,13.5
2018-01-14 7,3.0
2018-01-14 8,0.0
2018-01-14 9,0.0
2018-01-14 10,0.0
2018-01-14 11,0.0
2018-01-14 12,3.0
2018-01-14 13,0.0
2018-01-14 14,0.0
2018-01-14 15,0.0
2018-01-14 16,0.0
2018-01-14 17,0.0
2018-01-14 18,0.0
2018-01-14 19,0.0
2018-01-14 20,0.0
2018-01-14 21,0.0
2018-01-14 22,0.0
2018-01-14 23,0.0
2018-01-15 0,0.0
2018-01-15 1,0.0
2018-01-15 2,3.0
2018-01-15 3,0.0
2018-01-15 4,0.0
2018-01-15 5,0.0
2018-01-15 6,43.0
2018-01-15 7,89.0
2018-01-15 8,68.0
2018-01-15 9,65.5
2018-01-15 10,61.0
2018-01-15 11,62.5
2018-01-15 12,68.5
2018-01-15 13,66.5
2018-01-15 14,68.5
2018-01-15 15,68.0
2018-01-15 16,74.5
2018-01-15 17,68.5
2018-01-15 18,74.5
2018-01-15 19,59.5
2018-01-15 20,55.0
2018-01-15 21,23.0
2018-01-15 22,0.0
2018-01-15 23,0.0
2018-01-16 0,0.0
2018-01-16 1,0.0
2018-01-16 2,0.0
2018-01-16 3,0.0
2018-01-16 4,0.0
2018-01-16 5,0.0
2018-01-16 6,40.0
2018-01-16 7,83.0
2018-01-16 8,63.0
2018-01-16 9,65.0
2018-01-16 10,74.5
2018-01-16 11,75.0
2018-01-16 12,77.5
2018-01-16 13,77.0
2018-01-16 14,77.0
2018-01-16 15,77.0
2018-01-16 16,80.0
2018-01-16 17,80.0
