date_time,value
2018-01-08 0,16.0
2018-01-08 1,16.0
2018-01-08 2,15.0
2018-01-08 3,16.0
2018-01-08 4,20.0
2018-01-08 5,15.0
2018-01-08 6,15.0
2018-01-08 7,34.0
2018-01-08 8,67.0
2018-01-08 9,83.0
2018-01-08 10,98.0
2018-01-08 11,116.0
2018-01-08 12,110.0
2018-01-08 13,119.0
2018-01-08 14,125.0
2018-01-08 15,135.0
2018-01-08 16,119.0
2018-01-08 17,122.0
2018-01-08 18,84.0
2018-01-08 19,49.0
2018-01-08 20,37.0
2018-01-08 21,31.0
2018-01-08 22,34.0
2018-01-08 23,19.0
2018-01-09 0,18.0
2018-01-09 1,19.0
2018-01-09 2,13.0
2018-01-09 3,13.0
2018-01-09 4,12.0
2018-01-09 5,10.0
2018-01-09 6,18.0
2018-01-09 7,23.0
2018-01-09 8,58.0
2018-01-09 9,89.0
2018-01-09 10,94.0
2018-01-09 11,115.0
2018-01-09 12,112.0
2018-01-09 13,121.0
2018-01-09 14,138.0
2018-01-09 15,131.0
2018-01-09 16,132.0
2018-01-09 17,132.0
2018-01-09 18,122.0
2018-01-09 19,63.0
2018-01-09 20,51.0
2018-01-09 21,51.0
2018-01-09 22,37.0
2018-01-09 23,29.0
2018-01-10 0,18.0
2018-01-10 1,17.0
2018-01-10 2,15.0
2018-01-10 3,16.0
2018-01-10 4,20.0
2018-01-10 5,15.0
2018-01-10 6,18.0
2018-01-10 7,28.0
2018-01-10 8,79.0
2018-01-10 9,99.0
2018-01-10 10,154.0
2018-01-10 11,178.0
2018-01-10 12,130.0
2018-01-10 13,159.0
2018-01-10 14,191.0
2018-01-10 15,166.0
2018-01-10 16,132.0
2018-01-10 17,125.0
2018-01-10 18,110.0
2018-01-10 19,45.0
2018-01-10 20,40.0
2018-01-10 21,35.0
2018-01-10 22,34.0
2018-01-10 23,21.0
2018-01-11 0,20.0
2018-01-11 1,20.0
2018-01-11 2,17.0
2018-01-11 3,17.0
2018-01-11 4,16.0
2018-01-11 5,16.0
2018-01-11 6,17.0
2018-01-11 7,24.0
2018-01-11 8,76.0
2018-01-11 9,102.0
2018-01-11 10,106.0
2018-01-11 11,136.0
2018-01-11 12,139.0
2018-01-11 13,134.0
2018-01-11 14,135.0
2018-01-11 15,145.0
2018-01-11 16,138.0
2018-01-11 17,117.0
2018-01-11 18,87.0
2018-01-11 19,54.0
2018-01-11 20,40.0
2018-01-11 21,42.0
2018-01-11 22,37.0
2018-01-11 23,18.0
2018-01-12 0,17.0
2018-01-12 1,14.0
2018-01-12 2,15.0
2018-01-12 3,13.0
2018-01-12 4,37.0
2018-01-12 5,16.0
2018-01-12 6,18.0
2018-01-12 7,28.0
2018-01-12 8,69.0
