date_time,value
2018-01-08 0,2.0
2018-01-08 1,2.0
2018-01-08 2,3.0
2018-01-08 3,2.0
2018-01-08 4,2.0
2018-01-08 5,2.0
2018-01-08 6,2.0
2018-01-08 7,13.0
2018-01-08 8,26.0
2018-01-08 9,28.0
2018-01-08 10,32.0
2018-01-08 11,33.0
2018-01-08 12,28.0
2018-01-08 13,21.0
2018-01-08 14,30.0
2018-01-08 15,31.0
2018-01-08 16,28.0
2018-01-08 17,37.0
2018-01-08 18,33.0
2018-01-08 19,24.0
2018-01-08 20,13.0
2018-01-08 21,8.0
2018-01-08 22,7.0
2018-01-08 23,3.0
2018-01-09 0,3.0
2018-01-09 1,2.0
2018-01-09 2,2.0
2018-01-09 3,1.0
2018-01-09 4,1.0
2018-01-09 5,1.0
2018-01-09 6,2.0
2018-01-09 7,7.0
2018-01-09 8,19.0
2018-01-09 9,30.0
2018-01-09 10,33.0
2018-01-09 11,37.0
2018-01-09 12,31.0
2018-01-09 13,29.0
2018-01-09 14,34.0
2018-01-09 15,33.0
2018-01-09 16,30.0
2018-01-09 17,27.0
2018-01-09 18,34.0
2018-01-09 19,17.0
2018-01-09 20,16.0
2018-01-09 21,20.0
2018-01-09 22,10.0
2018-01-09 23,7.0
2018-01-10 0,3.0
2018-01-10 1,2.0
2018-01-10 2,2.0
2018-01-10 3,2.0
2018-01-10 4,2.0
2018-01-10 5,2.0
2018-01-10 6,4.0
2018-01-10 7,11.0
2018-01-10 8,31.0
2018-01-10 9,36.0
2018-01-10 10,30.0
2018-01-10 11,54.0
2018-01-10 12,46.0
2018-01-10 13,74.0
2018-01-10 14,95.0
2018-01-10 15,74.0
2018-01-10 16,40.0
2018-01-10 17,38.0
2018-01-10 18,47.0
2018-01-10 19,17.0
2018-01-10 20,13.0
2018-01-10 21,10.0
2018-01-10 22,10.0
2018-01-10 23,3.0
2018-01-11 0,3.0
2018-01-11 1,3.0
2018-01-11 2,2.0
2018-01-11 3,2.0
2018-01-11 4,3.0
2018-01-11 5,2.0
2018-01-11 6,2.0
2018-01-11 7,5.0
2018-01-11 8,26.0
2018-01-11 9,32.0
2018-01-11 10,29.0
2018-01-11 11,32.0
2018-01-11 12,30.0
2018-01-11 13,41.0
2018-01-11 14,32.0
2018-01-11 15,36.0
2018-01-11 16,35.0
2018-01-11 17,30.0
2018-01-11 18,32.0
2018-01-11 19,17.0
2018-01-11 20,11.0
2018-01-11 21,12.0
2018-01-11 22,17.0
2018-01-11 23,3.0
2018-01-12 0,2.0
2018-01-12 1,1.0
2018-01-12 2,2.0
2018-01-12 3,1.0
2018-01-12 4,24.0
2018-01-12 5,1.0
2018-01-12 6,3.0
2018-01-12 7,7.0
2018-01-12 8,26.0
2018-01-12 9,34.0
2018-01-12 10,34.0
2018-01-12 11,32.0
2018-01-12 12,37.0
2018-01-12 13,30.0
2018-01-12 14,32.0
2018-01-12 15,71.0
2018-01-12 16,101.0
2018-01-12 17,51.0
2018-01-12 18,28.0
2018-01-12 19,16.0
2018-01-12 20,10.0
2018-01-12 21,9.0
2018-01-12 22,8.0
2018-01-12 23,5.0
2018-01-13 0,2.0
2018-01-13 1,2.0
2018-01-13 2,2.0
2018-01-13 3,3.0
2018-01-13 4,3.0
2018-01-13 5,3.0
2018-01-13 6,2.0
2018-01-13 7,5.0
2018-01-13 8,9.0
2018-01-13 9,11.0
2018-01-13 10,12.0
2018-01-13 11,13.0
2018-01-13 12,18.0
2018-01-13 13,15.0
2018-01-13 14,18.0
2018-01-13 15,20.0
2018-01-13 16,15.0
2018-01-13 17,13.0
2018-01-13 18,13.0
2018-01-13 19,15.0
2018-01-13 20,7.0
2018-01-13 21,19.0
2018-01-13 22,7.0
2018-01-13 23,4.0
2018-01-14 0,2.0
2018-01-14 1,3.0
2018-01-14 2,2.0
2018-01-14 3,1.0
2018-01-14 4,1.0
2018-01-14 5,1.0
2018-01-14 6,2.0
2018-01-14 7,3.0
2018-01-14 8,4.0
2018-01-14 9,5.0
2018-01-14 10,10.0
2018-01-14 11,16.0
2018-01-14 12,18.0
2018-01-14 13,14.0
2018-01-14 14,16.0
2018-01-14 15,13.0
2018-01-14 16,19.0
2018-01-14 17,26.0
2018-01-14 18,15.0
2018-01-14 19,14.0
2018-01-14 20,11.0
2018-01-14 21,19.0
2018-01-14 22,17.0
2018-01-14 23,10.0
2018-01-15 0,7.0
2018-01-15 1,2.0
2018-01-15 2,2.0
2018-01-15 3,3.0
2018-01-15 4,2.0
2018-01-15 5,1.0
2018-01-15 6,2.0
2018-01-15 7,8.0
2018-01-15 8,33.0
2018-01-15 9,48.0
2018-01-15 10,37.0
2018-01-15 11,73.0
2018-01-15 12,56.0
2018-01-15 13,61.0
2018-01-15 14,51.0
2018-01-15 15,83.0
2018-01-15 16,54.0
2018-01-15 17,87.0
2018-01-15 18,87.0
2018-01-15 19,68.0
2018-01-15 20,37.0
2018-01-15 21,36.0
2018-01-15 22,14.0
2018-01-15 23,6.0
2018-01-16 0,3.0
2018-01-16 1,3.0
2018-01-16 2,2.0
2018-01-16 3,2.0
2018-01-16 4,1.0
2018-01-16 5,2.0
2018-01-16 6,2.0
2018-01-16 7,21.0
2018-01-16 8,34.0
2018-01-16 9,68.0
2018-01-16 10,57.0
2018-01-16 11,79.0
2018-01-16 12,72.0
2018-01-16 13,86.0
2018-01-16 14,59.0
2018-01-16 15,92.0
2018-01-16 16,60.0
2018-01-16 17,92.0
2018-01-16 18,53.0
2018-01-16 19,48.0
2018-01-16 20,32.0
2018-01-16 21,22.0
2018-01-16 22,15.0
2018-01-16 23,8.0
2018-01-17 0,3.0
2018-01-17 1,4.0
2018-01-17 2,1.0
2018-01-17 3,1.0
2018-01-17 4,2.0
2018-01-17 5,2.0
2018-01-17 6,2.0
2018-01-17 7,13.0
2018-01-17 8,47.0
2018-01-17 9,78.0
2018-01-17 10,87.0
2018-01-17 11,95.0
2018-01-17 12,75.0
2018-01-17 13,74.0
2018-01-17 14,58.0
2018-01-17 15,107.0
2018-01-17 16,51.0
2018-01-17 17,72.0
2018-01-17 18,50.0
2018-01-17 19,35.0
2018-01-17 20,35.0
