date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1/1/18,0,3,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2/1/18,0,0,0,0,0,0,56,129,109,105.5,103,95,94.5,87.5,83,83,77.5,72,71.5,65.5,62.5,28.5,0,0
3/1/18,0,0,0,0,0,0,44,93.5,74.5,74,75,74.5,77,77,77,77.5,72,71.5,71,65.5,66,32,0,0
4/1/18,0,0,0,0,0,0,46,105.5,77,71.5,74,71.5,75,74.5,80,77,74,71.5,69.5,65.5,59.5,28.5,0,0
5/1/18,0,0,0,0,0,0,43.5,99.5,71.5,71.5,69.5,59.5,68.5,68.5,66.5,71.5,71,71.5,65.5,66.5,59.5,28.5,0,0
6/1/18,3,0,0,0,0,0,29,43,71,63,60.5,54.5,59,63.5,63,59.5,66,52,3,0,0,0,0,0
7/1/18,0,0,0,0,0,0,25,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
8/1/18,0,3,0,0,0,0,56.5,120,115,97.5,91,94.5,88.5,95,97.5,87.5,92,88.5,83,80,68.5,34.5,0,0
9/1/18,0,0,0,0,0,0,46.5,111,83,86,86,83,85.5,85,83,83,83,71.5,69.5,62.5,60,28.5,0,0
10/1/18,0,0,0,0,0,0,48.5,103.5,77,77.5,80,77,77.5,68.5,71.5,62.5,63.5,57,54.5,51,52,22.5,0,3
11/1/18,0,0,0,0,0,0,37,86,62.5,63.5,59.5,63,60.5,56.5,60.5,62.5,61,56.5,54.5,46,45,23.5,0,0
12/1/18,0,0,0,0,0,0,34,68.5,54.5,46,49,48.5,51,46,60.5,53.5,57.5,51.5,46,45.5,46,22.5,0,0
13/1/18,0,0,0,0,0,0,23,31,54.5,40,40,41,37,37,40,37,34,38,0,0,0,0,0,0
14/1/18,0,0,0,0,0,0,13.5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15/1/18,0,0,3,0,0,0,43,89,68,65.5,61,62.5,68.5,66.5,68.5,68,74.5,68.5,74.5,59.5,55,23,0,0
16/1/18,0,0,0,0,0,0,40,83,63,65,74.5,75,77.5,77,77,77,80,80,65.5,63.5,60,28,0,0
17/1/18,0,0,0,0,0,0,41,96.5,77,72.5,83,79,86,86,92,88.5,85.5,80,71.5,72,65.5,25.5,0,0
18/1/18,0,0,0,3,0,0,42.5,98,77,74.5,86,86,85.5,85,92,94,92,89,83,68.5,68,28.5,0,0
19/1/18,0,0,0,0,0,0,43.5,91,69.5,71,68.5,77,83,80,86,95,85.5,83,74.5,74,68.5,34,0,0
20/1/18,0,3,0,0,0,0,29,43,76.5,60.5,66,57,66,69,62,57.5,66,63,0,0,0,0,0,0
21/1/18,0,0,0,0,0,0,22.5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
