date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1/1/18,68.23,68.84,68.35,67.74,68.75,69.74,78.46,57.86,50.37,49.47,50.41,51.97,50.93,51.5,52.47,52.41,52,51.94,59.9,70.74,70.22,70.31,69.33,68.31
2/1/18,66.38,66.26,66.23,66.72,65.74,66.74,81.65,109.35,110.25,115.19,119.79,121.23,119.32,114.17,120.6,122.37,118.24,111.18,102.62,103.99,100.87,86.15,70.78,68.3
3/1/18,68.29,65.63,67.18,66.69,67.16,67.71,82.06,91.97,91.19,99.66,109.75,116.09,117.41,110.69,117.62,121.18,113.66,105.66,98.69,103.9,101.47,87.63,71.71,70.19
4/1/18,69.29,67.22,68.15,68.28,68.28,69.69,82.37,96.44,91.66,99.65,109.28,114.44,112.63,108.25,118.62,119.22,116.13,110.69,102.09,104.91,101.5,89.25,74.87,73.9
5/1/18,72.39,71.27,71.82,71.31,71.81,72.78,84.94,95.5,89.93,97.07,104.5,106.5,110.59,105.5,115.5,114.5,113.54,104.99,100.78,103.79,101.37,89.72,75.38,72.22
6/1/18,73.37,72.28,71.25,71.78,72.25,72.72,80.16,71.4,79.91,77.97,80.37,84.41,82.41,83.87,82.97,82.41,80.93,78.38,65.09,76.81,75.28,75.85,74.91,72.84
7/1/18,73.84,71.37,71.28,71.83,71.81,72.78,76.56,57.46,50.44,52.41,51.9,51.88,53.9,52.97,54.38,52.93,53.91,53.47,62.06,74.31,75.86,76.31,74.37,72.87
8/1/18,72.34,70.72,71.85,72.41,71.81,72.25,88,112.03,110.5,109.91,118.94,121.03,121.46,117.47,125.41,124.03,121.93,115.47,104.67,107.77,105.26,91.18,75.85,74.87
9/1/18,72.25,72.28,73.32,72.34,71.81,73.72,87.5,97.09,104.04,120.81,128.19,116.55,122.66,129.85,143.44,133.71,126.69,118.25,107.22,109.84,106.35,92.69,79.46,77.29
10/1/18,74.78,75.4,74.84,74.38,75.28,76.79,88.9,96.03,98.97,106.47,114.03,116.5,118.53,116.04,127.06,126.46,123.07,112.5,105.15,109.94,107.87,93.16,79.4,76.86
11/1/18,75.9,76.99,76.04,75.37,74.87,75.26,88.47,93.53,94.06,102.5,108,109.5,109.07,106.49,114.03,116.01,114.56,106.06,101.25,107.44,101.44,87.69,75.43,75.44
12/1/18,72.44,73.46,72.44,74,72.51,72.81,88.15,87.66,89.56,98.5,111.19,116.72,114.08,110.54,119.56,121.54,118.53,104.52,99.23,101.34,100.97,85.12,72.5,71.91
13/1/18,71.47,70.46,70.51,70.93,71.07,71.99,77.82,67,69.41,68.94,72.9,76.88,76.97,76.97,78.9,78.97,78.94,75.44,66.11,79.48,78.4,75.91,73.97,71.94
14/1/18,70.93,69.34,69.98,70.43,71.1,70.9,73.81,56.04,47.9,48.47,50.38,52.94,53.4,52.88,53.47,53.87,55.97,55.44,62.62,75.28,76.34,75.94,75.41,74.99
15/1/18,71.39,69.75,70.37,69.87,70.97,71.38,85.68,92.04,96.12,127.28,140.88,146.37,148.51,150.3,155.22,159.47,145.63,129.46,122.41,120.03,114.54,95.68,77.47,74.84
16/1/18,72.78,72.28,71.82,72.44,72.4,72.75,86.5,108.47,110.6,139.71,157.84,161.66,160.29,156.5,162.05,163.63,150.6,146.5,131.28,132.93,125.66,107.91,81.35,74.31
17/1/18,73.9,71.72,71.88,71.84,71.31,72.25,87,99.03,99.56,124.53,140.44,149.6,157.3,153.51,162.47,165.22,154.03,149.06,129.03,128.32,121.86,100.1,79.28,74.78
18/1/18,71.85,71.35,71.46,71.87,70.95,71.84,87.03,106.75,113.03,138.53,152.03,162.44,171.12,168.32,171.25,169.06,163.65,154.44,156.69,158.5,123.79,98.81,78.02,74.88
19/1/18,72.38,71.4,70.75,70.78,70.85,71.25,86.56,100.35,100.68,131.44,151.5,154.82,151.36,151.35,169.81,165.1,155.78,139.71,125.73,116.62,114.22,95.44,76.77,74.23
20/1/18,71.65,71.69,71.16,71.15,71.69,72.62,80.54,74.24,84.29,80.78,83.25,84.22,87.78,89.25,92.31,88.31,87.28,83.25,64.57,77.62,81.23,80.65,78.69,77.31
21/1/18,73.68,73.67,71.15,72.28,71.72,73.12,76.04,57.21,50.35,50.78,52.81,54.25,56.31,57.82,59.37,57.97,56.69,55.94,65.56,76.09,75.62,74.6,74.65,72.72
22/1/18,72.12,71.2,71.09,71.19,71.15,71.6,85.21,119.91,136.35,166.15,174.44,173.5,176.56,176.66,179.68,182.91,172.78,165.47,148.88,136.37,127.54,102.62,80.28,77.31
23/1/18,75.23,74.17,73.75,74.72,73.78,75.19,87.85,130.28,141.41,162.87,168.6,175.65,174.34,171.07,177.03,178.29,165.05,155.5,138.97,131.81,121.91,101.1,80.84,77.19
24/1/18,73.4,74.31,75.32,74.34,74.84,76.22,87.32,105.4,107.6,128.97,146.84,152.21,162.6,158.5,165.44,168.38,160.96,150,131.88,132.91,122.55,103.79,80.97,76.75
25/1/18,75.81,74.84,74.41,74.72,73.28,74.72,86.47,106.3,117.35,142.47,152.91,164.31,169.25,165,165.97,159.22,152.06,152.4,156.29,150.25,133.56,110.85,83.84,76.21
