date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,16,16,15,16,20,15,15,34,67,83,98,116,110,119,125,135,119,122,84,49,37,31,34,19
9/1/18,18,19,13,13,12,10,18,23,58,89,94,115,112,121,138,131,132,132,122,63,51,51,37,29
10/1/18,18,17,15,16,20,15,18,28,79,99,154,178,130,159,191,166,132,125,110,45,40,35,34,21
11/1/18,20,20,17,17,16,16,17,24,76,102,106,136,139,134,135,145,138,117,87,54,40,42,37,18
12/1/18,17,14,15,13,37,16,18,28,69,93,106,121,130,122,145,199,226,136,68,45,44,31,27,21
13/1/18,18,17,19,17,17,17,16,22,28,36,41,43,57,54,56,59,50,50,37,35,26,39,26,22
14/1/18,18,13,13,13,14,14,14,15,24,23,33,37,36,35,34,35,40,52,31,38,30,44,37,28
15/1/18,22,14,14,15,12,13,12,26,85,138,142,202,160,188,177,228,199,286,261,228,141,78,37,20
16/1/18,18,18,14,14,13,17,17,43,88,156,170,213,196,234,236,259,257,250,216,205,159,53,40,30
17/1/18,19,18,17,15,16,17,17,35,101,155,215,237,213,205,206,271,201,215,234,221,186,52,36,27
18/1/18,25,19,17,20,19,18,23,30,84,156,149,217,174,211,213,267,224,238,233,191,164,158,41,29
19/1/18,18,16,13,19,14,14,16,32,90,130,149,209,205,228,187,199,165,177,209,171,154,131,48,23
20/1/18,21,17,14,14,14,17,17,21,29,43,49,55,61,59,56,54,51,37,30,33,39,23,75,35
21/1/18,15,18,17,13,14,15,12,14,17,23,23,31,34,33,37,31,36,42,27,23,33,33,24,23
22/1/18,17,14,13,11,12,9,12,26,100,145,160,227,174,234,223,266,219,267,234,230,182,59,37,18
23/1/18,16,19,20,15,14,12,18,36,90,170,192,219,175,246,251,270,251,284,229,207,185,157,40,27
24/1/18,19,21,19,15,13,15,16,26,94,190,181,224,199,224,234,263,217,259,284,228,216,88,58,39
25/1/18,26,21,25,22,17,20,27,44,89,167,164,253,191,224,236,274,246,209,137,114,91,67,49,29
26/1/18,17,17,23,18,18,18,17,33,99,158,186,227,193,238,224,212,175,203,140,75,48,38,48,20
27/1/18,22,20,20,19,12,14,11,18,34,50,44,50,46,37,42,40,36,39,40,31,21,21,22,21
28/1/18,14,19,14,14,13,17,16,12,22,19,25,27,32,27,24,25,23,23,27,27,25,20,18,16
29/1/18,10,15,10,13,13,8,13,27,67,116,114,184,164,182,179,196,213,203,185,134,95,71,42,21
30/1/18,14,12,16,12,10,9,12,26,58,152,172,186,203,197,217,231,223,228,172,149,120,83,22,21
31/1/18,12,12,12,13,12,11,19,27,72,156,195,229,197,203,231,227,222,188,171,145,134,128,36,18
1/2/18,15,8,9,11,10,10,12,24,65,135,143,178,147,207,250,256,216,214,175,103,74,66,48,20
2/2/18,15,18,17,13,14,13,13,26,65,118,145,199,168,208,202,219,170,145,163,126,82,93,47,29
3/2/18,15,23,12,14,12,13,14,13,34,47,45,44,49,39,38,31,33,42,46,40,35,25,23,15
4/2/18,15,15,12,10,9,15,11,14,13,17,27,31,32,33,42,40,32,31,32,25,26,18,24,16
5/2/18,10,12,9,10,9,12,13,36,63,117,122,166,160,218,207,244,204,220,164,136,104,47,31,27
6/2/18,17,14,14,14,16,14,13,37,102,178,208,204,227,240,233,237,244,161,181,152,135,119,48,27
7/2/18,24,20,17,13,13,15,14,33,77,129,119,168,164,183,209,241,211,173,182,153,117,94,40,21
8/2/18,16,15,14,10,11,11,13,28,73,138,143,205,179,204,215,255,182,205,129,82,58,48,37,21
9/2/18,18,14,8,13,11,13,12,32,83,132,168,184,183,236,157,164,146,163,178,157,133,92,36,22
10/2/18,15,16,9,11,11,11,13,15,35,47,56,60,53,37,40,47,54,58,43,22,26,26,18,15
11/2/18,10,10,10,8,9,7,8,10,13,20,15,28,25,30,33,28,31,35,28,27,27,29,19,19
12/2/18,12,12,11,12,11,10,13,24,56,97,98,163,156,191,228,241,208,210,148,149,100,65,40,18
13/2/18,12,11,11,12,11,10,16,38,83,141,181,237,191,213,173,193,173,163,153,139,122,84,26,16
14/2/18,12,10,9,10,9,9,13,27,77,136,187,225,232,255,202,221,206,175,151,129,114,45,23,14
15/2/18,16,13,9,9,10,11,15,35,59,110,133,158,126,176,169,162,101,65,40,24,19,17,19,17
16/2/18,9,7,9,9,10,8,10,13,13,18,17,21,20,17,19,24,18,19,14,16,15,15,17,13
17/2/18,12,9,9,8,11,9,9,15,13,13,14,30,13,13,18,13,15,14,16,19,15,18,16,15
18/2/18,11,11,10,10,7,9,10,10,13,18,14,20,23,19,24,30,23,20,20,19,18,16,20,15
19/2/18,12,9,10,9,8,7,10,34,60,94,113,152,156,186,209,259,213,173,129,118,92,60,38,19
20/2/18,13,11,12,11,7,9,12,39,81,119,190,184,207,221,209,190,183,166,141,135,99,83,25,15
21/2/18,10,10,11,7,11,11,10,30,61,129,164,199,173,177,203,237,197,177,160,130,131,59,35,17
22/2/18,13,8,10,8,8,7,8,22,59,117,145,188,158,180,187,195,167,175,110,63,57,55,33,23
23/2/18,11,14,13,13,10,11,14,39,81,127,160,192,166,179,167,274,211,181,170,145,111,98,35,20
24/2/18,21,19,16,13,11,30,52,48,45,57,79,81,73,75,108,64,70,68,43,40,41,30,27,24
25/2/18,16,17,9,9,8,8,8,11,15,19,25,19,23,19,26,27,27,24,23,18,24,23,22,17
26/2/18,13,11,5,6,7,9,8,21,51,62,93,97,93,104,99,105,106,97,79,50,43,39,32,14
27/2/18,12,15,11,11,10,10,13,22,44,59,85,102,111,115,118,129,115,111,78,48,42,40,36,22
28/2/18,14,13,13,12,11,11,13,24,43,66,75,84,95,109,126,155,119,99,88,36,29,24,24,19
1/3/18,13,8,8,9,8,7,10,20,47,77,97,123,119,130,139,146,119,101,75,41,36,35,25,19
2/3/18,12,12,14,12,10,12,12,28,51,73,92,104,98,104,128,108,107,99,53,33,32,28,26,22
3/3/18,15,14,11,12,13,10,10,25,30,51,49,51,43,48,46,43,48,46,34,21,17,21,18,15
4/3/18,14,11,11,11,10,10,7,11,14,17,21,25,31,29,33,32,27,33,25,22,23,25,22,14
5/3/18,10,12,12,10,7,8,12,22,63,110,130,167,136,166,188,204,185,179,151,130,132,69,43,21
6/3/18,16,9,10,8,10,10,13,29,79,127,163,183,137,171,202,487,498,414,355,188,125,117,81,52
7/3/18,33,24,17,16,19,18,20,114,187,408,504,467,352,473,532,497,430,422,398,316,276,155,54,33
8/3/18,30,32,20,19,20,21,22,76,164,308,365,468,379,516,527,541,467,449,363,230,155,104,70,33
