date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,2,1,1,1,1,2,2,5,8,16,25,32,30,29,25,27,34,24,27,24,18,12,8,3
9/1/18,2,2,1,2,2,3,4,6,13,23,27,34,30,47,45,42,38,37,31,21,19,17,8,4
10/1/18,3,3,2,3,2,4,5,7,18,25,21,31,25,33,43,44,30,35,26,12,17,16,14,5
11/1/18,3,3,2,3,3,2,2,5,14,20,29,36,36,32,35,31,37,45,34,25,15,9,12,8
12/1/18,5,4,5,4,5,5,4,8,16,19,26,35,32,36,34,76,41,34,23,21,14,7,7,5
13/1/18,5,4,3,3,3,2,2,3,4,5,5,6,10,16,15,15,16,13,13,13,11,10,6,4
14/1/18,2,2,3,2,3,2,2,3,2,3,3,7,9,14,15,14,10,10,9,9,10,9,6,7
15/1/18,5,5,3,4,3,3,4,4,33,61,61,57,80,99,120,76,57,46,40,26,25,23,11,5
16/1/18,4,5,4,4,3,4,6,11,43,87,96,75,102,123,121,68,44,38,27,23,29,22,10,10
17/1/18,8,7,6,6,6,7,7,9,50,76,87,89,42,59,51,43,35,49,48,48,48,34,9,8
18/1/18,4,3,4,5,4,6,5,10,41,76,76,60,88,94,96,63,41,36,38,36,34,20,12,8
19/1/18,6,7,5,6,5,7,6,7,58,109,109,124,40,40,64,47,42,41,28,23,13,17,8,6
20/1/18,3,3,5,4,4,4,3,5,8,6,9,11,12,14,13,13,11,10,9,7,16,6,5,6
21/1/18,6,4,3,3,3,3,5,4,6,6,6,8,7,7,9,9,9,9,8,7,6,6,6,5
22/1/18,6,3,2,3,3,3,4,6,24,63,67,71,73,94,76,48,40,49,36,30,24,25,14,7
23/1/18,6,8,6,6,7,5,7,9,46,94,93,100,95,96,110,75,58,48,36,21,18,17,9,5
24/1/18,4,4,3,3,3,2,3,5,39,86,83,79,54,50,51,44,39,53,49,47,48,34,10,5
25/1/18,4,4,3,3,3,3,4,12,91,115,103,105,80,93,85,50,54,52,59,58,49,45,8,4
26/1/18,4,3,2,3,3,4,4,6,50,114,129,133,54,52,52,43,37,35,24,15,6,9,10,3
27/1/18,2,3,2,2,2,1,1,2,3,3,4,5,6,6,5,7,9,7,7,5,6,6,5,3
28/1/18,4,3,2,1,2,2,3,4,3,6,5,6,7,6,6,6,4,4,3,4,4,5,4,4
29/1/18,2,2,2,2,1,2,2,6,24,35,34,31,54,66,72,51,52,63,26,19,15,18,7,4
30/1/18,3,3,4,3,4,2,3,5,30,65,79,86,66,72,54,43,52,47,21,21,11,15,6,6
31/1/18,2,2,3,3,2,5,3,8,37,59,59,63,45,58,43,41,44,39,33,31,32,20,4,2
1/2/18,1,2,2,2,2,1,1,4,25,59,55,67,52,64,70,47,43,47,57,55,56,52,7,8
2/2/18,3,3,3,2,2,3,3,9,28,63,66,76,41,40,37,49,41,29,24,12,9,8,6,2
3/2/18,3,2,1,3,1,1,1,2,3,5,9,9,11,8,17,14,13,8,9,8,7,6,3,5
4/2/18,2,2,2,2,2,1,1,2,3,5,7,5,5,5,6,6,9,7,3,7,5,3,3,3
5/2/18,2,2,2,2,3,3,3,3,16,26,38,48,54,50,58,59,53,53,33,27,15,14,6,5
6/2/18,3,1,4,2,2,2,3,10,44,63,58,78,74,74,65,52,51,36,24,21,16,17,12,5
7/2/18,2,3,3,3,2,2,2,13,41,69,58,55,36,44,62,42,33,40,28,32,31,40,7,6
8/2/18,5,3,3,2,2,2,4,4,24,57,66,70,58,61,52,52,50,44,58,59,55,21,8,5
9/2/18,5,2,2,1,2,2,3,10,39,67,75,79,33,42,33,30,29,39,41,35,7,11,6,4
10/2/18,1,2,2,1,3,1,2,3,4,5,10,14,12,7,9,10,9,6,5,2,3,4,2,1
11/2/18,1,1,1,1,1,1,1,3,2,3,7,9,5,6,6,6,6,9,3,4,3,4,4,2
12/2/18,2,1,1,1,1,1,3,5,16,30,37,39,49,62,65,50,56,45,29,26,12,12,9,4
13/2/18,4,3,2,2,1,2,3,8,31,55,58,74,57,64,53,52,45,47,16,17,15,13,5,3
14/2/18,2,1,1,2,2,2,2,8,43,67,60,54,70,60,49,35,31,38,22,25,23,18,4,3
15/2/18,2,2,2,2,3,3,1,8,33,47,55,66,60,67,40,21,12,6,8,4,4,4,2,2
16/2/18,1,1,1,1,1,1,1,1,2,4,3,4,2,3,3,3,3,2,2,2,3,2,7,3
17/2/18,1,1,1,1,1,2,2,2,2,3,4,5,3,3,5,4,3,5,4,3,4,4,6,2
18/2/18,3,4,1,2,2,2,1,1,5,5,3,2,3,5,5,6,5,7,5,3,2,3,4,2
19/2/18,1,1,1,1,1,1,1,5,17,43,36,41,58,58,56,51,31,35,19,16,10,8,7,4
20/2/18,3,2,2,2,1,1,3,6,35,63,65,102,79,87,57,52,47,33,16,17,8,11,3,3
21/2/18,3,1,1,1,1,1,2,12,33,47,57,48,59,63,55,59,32,38,30,22,24,18,6,4
22/2/18,3,1,2,2,3,3,2,5,26,52,51,73,45,40,32,38,46,53,56,50,51,43,5,4
23/2/18,4,2,2,1,2,1,3,9,44,81,86,81,48,58,55,62,38,32,19,11,8,14,5,4
24/2/18,4,1,2,2,1,1,3,12,14,18,14,21,18,18,26,12,9,11,8,3,9,8,6,3
25/2/18,1,1,1,1,1,1,1,2,2,3,4,6,6,5,4,2,4,6,5,7,8,6,5,4
26/2/18,4,3,3,3,1,1,1,3,11,15,23,29,28,27,30,28,32,30,18,15,10,10,8,3
27/2/18,2,3,2,2,2,1,2,4,9,17,32,41,30,35,46,44,46,43,19,11,12,11,7,5
28/2/18,2,4,2,3,2,3,4,3,10,22,21,20,27,23,26,31,23,27,26,11,5,6,5,8
1/3/18,4,2,6,6,5,3,4,6,9,16,26,31,27,29,35,40,36,38,23,11,14,9,6,5
2/3/18,3,3,4,4,4,3,4,3,7,12,20,23,24,25,23,25,26,26,14,7,9,7,3,2
3/3/18,2,3,2,2,2,1,2,3,4,3,7,7,8,11,8,7,10,9,4,4,2,3,4,4
4/3/18,2,2,2,2,2,1,1,2,3,3,3,5,7,9,6,6,6,5,5,10,6,6,5,6
5/3/18,2,2,2,3,2,2,3,7,22,40,53,51,68,76,91,62,88,54,34,20,14,12,8,5
6/3/18,2,3,3,3,3,4,4,7,32,58,73,73,77,82,57,59,68,59,32,16,18,15,8,5
7/3/18,5,5,3,3,3,4,5,8,20,34,38,49,66,71,37,64,61,40,25,21,15,16,12,7
8/3/18,3,3,3,4,5,3,3,9,56,95,83,82,93,85,70,75,39,37,46,44,36,27,12,5
9/3/18,3,4,3,3,3,2,2,7,20,32,41,41,56,52,39,38,52,53,39,26,19,10,7,6
10/3/18,3,4,3,1,4,3,1,3,7,9,9,12,14,12,11,13,10,8,6,7,5,7,10,6
11/3/18,3,4,1,1,1,1,1,3,4,6,9,12,12,17,14,19,14,13,12,12,15,16,12,2
12/3/18,3,2,1,1,1,1,1,4,29,55,55,60,72,69,64,49,53,60,41,31,29,21,10,9
13/3/18,5,4,4,4,4,4,5,9,25,50,59,71,42,69,75,84,78,44,40,22,22,21,8,5
14/3/18,3,2,3,3,2,2,3,6,23,34,50,56,88,84,81,156,109,43,40,19,17,19,8,6
15/3/18,5,5,5,5,4,6,6,14,54,132,198,193,117,128,180,138,114,102,86,59,53,24,8,6
16/3/18,5,4,3,3,4,4,5,9,32,87,77,84,44,54,39,32,26,37,16,9,10,8,8,5
17/3/18,4,3,3,3,2,2,3,4,5,7,6,7,8,7,9,9,7,9,8,10,8,10,8,5
18/3/18,4,4,4,4,2,2,2,3,4,5,6,8,11,11,13,13,13,13,7,8,6,4,4,5
19/3/18,3,3,3,3,2,2,4,7,25,55,59,72,86,104,108,70,60,52,27,20,15,13,9,5
20/3/18,4,4,4,4,4,4,6,10,32,68,75,86,82,81,75,82,82,58,25,16,13,10,6,5
21/3/18,3,4,4,4,2,3,4,10,16,39,33,49,69,68,42,42,34,37,25,18,14,12,7,6
22/3/18,4,3,3,3,4,3,3,6,47,90,98,109,94,85,96,54,50,52,45,42,39,38,11,6
23/3/18,3,3,2,2,2,3,2,8,28,75,74,76,58,53,54,48,41,47,28,16,11,7,7,5
24/3/18,2,2,4,1,2,2,3,4,5,8,5,7,11,15,9,11,12,8,10,8,2,6,4,3
25/3/18,2,1,1,1,2,2,2,4,5,26,17,11,7,14,10,10,9,9,7,7,6,4,4,5
26/3/18,1,1,1,1,1,1,1,7,22,59,64,66,73,82,74,54,49,40,45,26,18,21,11,4
27/3/18,3,3,2,3,3,4,4,9,41,59,76,81,86,85,94,74,62,53,66,60,26,19,14,6
28/3/18,6,6,3,4,4,4,4,8,29,54,47,55,89,85,73,63,50,50,40,31,26,27,18,5
29/3/18,5,3,2,3,3,2,4,8,55,93,95,102,78,84,86,62,60,57,46,52,40,31,6,2
30/3/18,3,3,2,1,1,1,1,3,6,8,10,11,10,11,10,9,14,14,7,7,8,9,7,4
31/3/18,1,1,1,1,2,1,2,2,2,6,14,15,16,18,21,21,18,16,11,9,6,4,3,1
1/4/18,1,1,1,1,1,1,1,2,2,2,5,4,4,6,6,4,5,3,3,3,4,5,8,6
2/4/18,2,2,2,1,1,3,2,6,18,30,31,53,56,63,52,50,74,67,43,37,29,26,22,8
3/4/18,4,4,3,4,5,3,4,9,39,66,73,75,70,98,69,65,62,52,38,32,27,24,18,18
4/4/18,15,14,13,14,14,14,14,18,30,39,59,67,71,77,51,48,42,38,32,34,29,29,10,5
5/4/18,3,3,3,5,3,2,3,9,44,82,88,80,78,102,109,84,57,46,37,32,22,23,12,7
6/4/18,4,3,4,5,3,3,5,7,32,40,43,53,51,61,76,54,45,40,31,22,15,18,9,9
7/4/18,2,2,2,2,1,1,3,3,6,8,17,23,24,22,22,18,20,22,20,14,16,5,6,3
8/4/18,1,1,1,1,1,1,1,1,3,4,9,9,11,9,8,8,7,6,4,8,10,7,7,3
9/4/18,1,1,1,1,1,2,2,8,31,48,53,59,74,88,78,54,53,52,33,26,19,16,16,9
10/4/18,4,3,2,2,2,3,4,9,25,26,30,41,45,81,75,83,65,41,37,26,21,21,13,6
11/4/18,3,3,4,3,2,2,3,9,26,32,39,44,59,58,67,70,42,41,36,22,21,15,18,8
12/4/18,4,5,3,3,3,3,5,10,33,47,53,61,56,44,43,51,54,47,35,30,18,18,12,5
13/4/18,3,3,4,2,2,3,5,10,44,77,85,74,42,54,49,50,41,39,34,22,20,19,11,6
14/4/18,4,3,3,4,3,3,4,6,10,10,16,19,21,24,25,25,16,19,20,19,16,17,8,5
15/4/18,5,3,3,3,5,4,4,6,4,5,8,14,15,14,9,11,9,12,10,14,12,11,6,6
