date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-01-01,0.0,3.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,56.0,129.0,109.0,105.5,103.0,95.0,94.5,87.5,83.0,83.0,77.5,72.0,71.5,65.5,62.5,28.5,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,44.0,93.5,74.5,74.0,75.0,74.5,77.0,77.0,77.0,77.5,72.0,71.5,71.0,65.5,66.0,32.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,46.0,105.5,77.0,71.5,74.0,71.5,75.0,74.5,80.0,77.0,74.0,71.5,69.5,65.5,59.5,28.5,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,43.5,99.5,71.5,71.5,69.5,59.5,68.5,68.5,66.5,71.5,71.0,71.5,65.5,66.5,59.5,28.5,0.0,0.0
2018-01-06,3.0,0.0,0.0,0.0,0.0,0.0,29.0,43.0,71.0,63.0,60.5,54.5,59.0,63.5,63.0,59.5,66.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-01-07,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,3.0,0.0,0.0,0.0,0.0,56.5,120.0,115.0,97.5,91.0,94.5,88.5,95.0,97.5,87.5,92.0,88.5,83.0,80.0,68.5,34.5,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,46.5,111.0,83.0,86.0,86.0,83.0,85.5,85.0,83.0,83.0,83.0,71.5,69.5,62.5,60.0,28.5,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,48.5,103.5,77.0,77.5,80.0,77.0,77.5,68.5,71.5,62.5,63.5,57.0,54.5,51.0,52.0,22.5,0.0,3.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,37.0,86.0,62.5,63.5,59.5,63.0,60.5,56.5,60.5,62.5,61.0,56.5,54.5,46.0,45.0,23.5,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,34.0,68.5,54.5,46.0,49.0,48.5,51.0,46.0,60.5,53.5,57.5,51.5,46.0,45.5,46.0,22.5,0.0,0.0
2018-01-13,0.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,54.5,40.0,40.0,41.0,37.0,37.0,40.0,37.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,0.0,0.0,0.0,0.0,0.0,0.0,13.5,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-15,0.0,0.0,3.0,0.0,0.0,0.0,43.0,89.0,68.0,65.5,61.0,62.5,68.5,66.5,68.5,68.0,74.5,68.5,74.5,59.5,55.0,23.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,40.0,83.0,63.0,65.0,74.5,75.0,77.5,77.0,77.0,77.0,80.0,80.0,65.5,63.5,60.0,28.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,41.0,96.5,77.0,72.5,83.0,79.0,86.0,86.0,92.0,88.5,85.5,80.0,71.5,72.0,65.5,25.5,0.0,0.0
2018-01-18,0.0,0.0,0.0,3.0,0.0,0.0,42.5,98.0,77.0,74.5,86.0,86.0,85.5,85.0,92.0,94.0,92.0,89.0,83.0,68.5,68.0,28.5,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,43.5,91.0,69.5,71.0,68.5,77.0,83.0,80.0,86.0,95.0,85.5,83.0,74.5,74.0,68.5,34.0,0.0,0.0
2018-01-20,0.0,3.0,0.0,0.0,0.0,0.0,29.0,43.0,76.5,60.5,66.0,57.0,66.0,69.0,62.0,57.5,66.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,0.0,0.0,0.0,0.0,0.0,0.0,22.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,48.5,114.5,112.0,105.0,103.5,111.5,103.0,111.5,105.5,103.0,108.5,106.5,96.5,86.0,91.5,40.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,46.0,117.0,100.5,94.5,99.5,97.5,103.0,97.5,94.5,88.0,94.5,80.5,83.0,74.5,71.0,31.5,0.0,0.0
2018-01-24,3.0,0.0,0.0,0.0,0.0,0.0,39.5,103.5,80.0,74.5,91.5,85.5,88.5,86.0,95.0,90.5,92.0,80.5,80.0,77.0,71.0,37.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,41.0,105.5,79.5,78.0,85.0,89.0,80.5,83.0,85.0,83.0,80.0,80.0,80.5,69.0,71.5,37.0,0.0,0.0
2018-01-26,0.0,0.0,3.0,0.0,0.0,0.0,37.0,106.5,80.0,77.0,83.0,80.0,82.5,83.0,89.0,83.0,80.0,71.5,65.0,64.0,65.5,31.0,0.0,0.0
2018-01-27,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,77.0,63.0,65.5,66.0,69.0,68.0,66.0,72.0,68.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-28,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,3.0,0.0,0.0,0.0,0.0,0.0,43.0,114.0,103.5,100.0,102.5,103.5,97.5,96.0,103.5,102.5,106.5,105.5,91.5,89.0,89.0,42.5,0.0,0.0
