,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-01-08,16,16,15,16,20,15,15,34,67,83,98,116,110,119,125,135,119,122,84,49,37,31,34,19
2018-01-09,18,19,13,13,12,10,18,23,58,89,94,115,112,121,138,131,132,132,122,63,51,51,37,29
2018-01-10,18,17,15,16,20,15,18,28,79,99,154,178,130,159,191,166,132,125,110,45,40,35,34,21
2018-01-11,20,20,17,17,16,16,17,24,76,102,106,136,139,134,135,145,138,117,87,54,40,42,37,18
2018-01-12,17,14,15,13,37,16,18,28,69,93,106,121,130,122,145,199,226,136,68,45,44,31,27,21
2018-01-13,18,17,19,17,17,17,16,22,28,36,41,43,57,54,56,59,50,50,37,35,26,39,26,22
2018-01-14,18,13,13,13,14,14,14,15,24,23,33,37,36,35,34,35,40,52,31,38,30,44,37,28
2018-01-15,22.0,14.0,14.0,15.0,12.0,13.0,12.0,26.0,85.0,138.0,142.0,202.0,160.0,188.0,177.0,228.0,199.0,286.0,261.0,228.0,141.0,78.0,37.0,20.0
2018-01-16,18.0,18.0,14.0,14.0,13.0,17.0,17.0,43.0,88.0,156.0,170.0,213.0,196.0,234.0,236.0,259.0,257.0,250.0,216.0,205.0,159.0,53.0,40.0,30.0
2018-01-17,19,18,17,15,16,17,17,35,101,155,215,237,213,205,206,271,201,215,234,221,186,52,36,27
2018-01-18,25,19,17,20,19,18,23,30,84,156,149,217,174,211,213,267,224,238,233,191,164,158,41,29
2018-01-19,18,16,13,19,14,14,16,32,90,130,149,209,205,228,187,199,165,177,209,171,154,131,48,23
2018-01-20,21,17,14,14,14,17,17,21,29,43,49,55,61,59,56,54,51,37,30,33,39,23,75,35
2018-01-21,15,18,17,13,14,15,12,14,17,23,23,31,34,33,37,31,36,42,27,23,33,33,24,23
2018-01-22,17,14,13,11,12,9,12,26,100,145,160,227,174,234,223,266,219,267,234,230,182,59,37,18
2018-01-23,16,19,20,15,14,12,18,36,90,170,192,219,175,246,251,270,251,284,229,207,185,157,40,27
2018-01-24,19.0,21.0,19.0,15.0,13.0,15.0,16.0,26.0,94.0,190.0,181.0,224.0,199.0,224.0,234.0,263.0,217.0,259.0,284.0,228.0,216.0,88.0,58.0,39.0
2018-01-25,26,21,25,22,17,20,27,44,89,167,164,253,191,224,236,274,246,209,137,114,91,67,49,29
2018-01-26,17,17,23,18,18,18,17,33,99,158,186,227,193,238,224,212,175,203,140,75,48,38,48,20
2018-01-27,22,20,20,19,12,14,11,18,34,50,44,50,46,37,42,40,36,39,40,31,21,21,22,21
